private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
Fayard,,0.0,,,
Berkeley,,0.0,,,
University of California,,0.0,,,
Mansel,,0.0,,,
Philip,,0.0,,,
John Murray,,0.0,,,
Douglas,,0.0,,,
23 February 1997,,0.0,,,
NYTimes,,0.0,,,
ProQuest,,0.0,,,
TimesMachine,,0.0,,,
US Newsstream,,0.0,,,
19 December 2006,,0.0,,,
Wise,,0.0,,,
Zach,,0.0,,,
Miki,,0.0,,,
10 January 2009,,0.0,,,
weekend,,0.0,,,
22 April 2009,,0.0,,,
Sherwood,,0.0,,,
Seth,,0.0,,,
Williams,,0.0,,,
Gisela,,0.0,,,
East Coast,,0.0,,,
Kamal,,0.0,,,
(1930–2008) (14 October 2006,,0.0,,,
14 November 2015,,0.0,,,
Talbert,,0.0,,,
Richard,,0.0,,,
Princeton University Press,,0.0,,,
Google Maps,,0.0,,,
24 March 2026,,0.0,,,
Dessiné au Bureau Topographique de l'Armée Française du Levant,,0.0,,,
the Topographic Bureau of the French Army,,0.0,,,
Héliogravé et Imprimé au Service Géographique de l’Armée,,0.0,,,
the Army Geographic Service,,0.0,,,
February 1922,,0.0,,,
1176981566,,0.0,,,
921703631,,0.0,,,
the Topographic Bureau of the French Troops of the Levant,,0.0,,,
November 1936,,0.0,,,
the North Governorate,,0.0,,,
the Tripoli District,,0.0,,,
Mediterranean Sea,,0.0,,,
Athar,,0.0,,,
Tripolis,,0.0,,,
Ṭarābulus,,0.0,,,
Ṭarābulus ash-Shām,,0.0,,,
Cairo,,0.0,,,
the Palm Islands,,0.0,,,
El Mina,,0.0,,,
1948,,0.0,,,
Diodorus Siculus,,0.0,,,
Pliny,,0.0,,,
Strabo,,0.0,,,
Tyre,,0.0,,,
Arwad,,0.0,,,
Triple City,,0.0,,,
Trípolis,,0.0,,,
Derbly,,0.0,,,
Ahlia,,0.0,,,
Wahlia,,0.0,,,
14th century BC).[9,,0.0,,,
Ashurnasirpal II,,0.0,,,
Mahallata,,0.0,,,
Mahlata,,0.0,,,
Mayza,,0.0,,,
bilād ash-Shām,,0.0,,,
the 8th century BC.[18,,0.0,,,
Arados Island,,0.0,,,
635,,0.0,,,
Umayyad,,0.0,,,
Fatimid,,0.0,,,
the beginning of the 12th century,,0.0,,,
1109,,0.0,,,
the County of Tripoli,,0.0,,,
1289,,0.0,,,
1516 to 1918,,0.0,,,
1920,,0.0,,,
the 8th (or sometimes 4th) century BC,,0.0,,,
the end of the Hellenistic period,,0.0,,,
Late Bronze Age,,0.0,,,
Abou Halka,,0.0,,,
"the early (30,000 years old",,0.0,,,
middle Stone Age,,0.0,,,
East Mediterranean,,0.0,,,
North Syria,,0.0,,,
112 BC,,0.0,,,
the Roman and Byzantine period,,0.0,,,
Antioch,,0.0,,,
Ptolemais,,0.0,,,
the Arab Navy,,0.0,,,
Alexandria,,0.0,,,
Kutama Ismaili,,0.0,,,
Banu Ammar,,0.0,,,
Jund Dimashq).[21,,0.0,,,
the seventh century,,0.0,,,
al-Baladhuri,,0.0,,,
Uthman,,0.0,,,
Mu'awiya,,0.0,,,
al-Hakim,,0.0,,,
the 1070s,,0.0,,,
Palestine,,0.0,,,
Geniza,,0.0,,,
Crusader,,0.0,,,
the Crusade period,,0.0,,,
Raymond,,0.0,,,
Akkar,,0.0,,,
Krak des Chevaliers,,0.0,,,
"the ""Pilgrim's Mountain",,0.0,,,
the Church of Saint Mary of the Tower,,0.0,,,
the Carmelite Church,,0.0,,,
the Knights Hospitaller,,0.0,,,
today,,0.0,,,
Qalawun,,0.0,,,
mid-twelfth century,,0.0,,,
Benjamin,,0.0,,,
edit]Tripoli,,0.0,,,
al-Mansur Qalawun,,0.0,,,
the present day,,0.0,,,
Mamluk Syria,,0.0,,,
Aqra,,0.0,,,
al Alawiyyin mountains,,0.0,,,
Hermel,,0.0,,,
