private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
2005,http://www.wikidata.org/entity/Q2019,1.0,year,Q2019,2005
1975,,0.0,,,
the first two years,http://www.wikidata.org/entity/Q59451845,0.446,scientific article published in the Astrophysical Journal,Q59451845,The first two years of electromagnetic follow-up with advanced LIGO and Virgo
1978,,0.0,,,
Achrafiyeh,,0.0,,,
three-month,,0.0,,,
West Beirut,http://www.wikidata.org/entity/Q1423485,1.0,1998 film by Ziad Doueiri,Q1423485,West Beirut
1983,,0.0,,,
Between 1989 and 1990,,0.0,,,
East Beirut,,0.0,,,
Aoun,http://www.wikidata.org/entity/Q21489116,1.0,family name,Q21489116,Aoun
Samir Geagea's,,0.0,,,
Maronite Christian Lebanese Forces,,0.0,,,
Syrian Armed Forces,http://www.wikidata.org/entity/Q849180,1.0,combined military forces of the Syria,Q849180,Syrian Armed Forces
Elias Hrawi,,0.0,,,
Salim Al-Huss,http://www.wikidata.org/entity/Q2094707,1.0,Lebanese statesman (1929–2024),Q2094707,Salim al-Huss
1990,,0.0,,,
2006,http://www.wikidata.org/entity/Q2021,1.0,year,Q2021,2006
the Middle East,,0.0,,,
Solidere,http://www.wikidata.org/entity/Q1634026,1.0,The Lebanese Company for the Development and Reconstruction of Beirut Central District,Q1634026,Solidere
1994,,0.0,,,
Rafic Hariri,http://www.wikidata.org/entity/Q192778,0.967,"Prime Minister of Lebanon (1992–1998, 2000–2004)",Q192778,Rafiq Hariri
1999,,0.0,,,
2016,http://www.wikidata.org/entity/Q25245,1.0,year,Q25245,2016
A month later,,0.0,,,
"26 April 2005,[77",,0.0,,,
15 October 2008.[78,,0.0,,,
12 July 2006,,0.0,,,
Hezbollah,http://www.wikidata.org/entity/Q41053,1.0,Iranian-backed Shia Islamist political party and armed organization in Lebanon,Q41053,Hezbollah
IDF,,0.0,,,
13 July 2006,http://www.wikidata.org/entity/Q14615478,0.77,date,Q14615478,"July 13, 2006"
Eastern Lebanon.[79,,0.0,,,
May 2008,http://www.wikidata.org/entity/Q235466,1.0,month of 2008,Q235466,May 2008
the Lebanese Army.[80,,0.0,,,
Doha,http://www.wikidata.org/entity/Q3861,1.0,capital of Qatar,Q3861,Doha
the Prince of Qatar,,0.0,,,
